"No,";Time;;Source;Destination;Protocol;Length;Info;;;Time 1;Time 2;;Delay;;Delay 1;Delay 2 ;Jitter
2577;72.852.863;"72,852863";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56905 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"72,852863";"72,890705";;"0,037842";;"-0,163181";"0,201023";"0,364204"
2578;72.890.705;"72,890705";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56904 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"72,890705";"73,091728";;"0,201023";;"0,200904";"0,000119";"-0,200785"
2579;73.091.728;"73,091728";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56905 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"73,091728";"73,091847";;"0,000119";;"-0,015196";"0,015315";"0,030511"
2580;73.091.847;"73,091847";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 2573#1] 56905  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"73,091847";"73,107162";;"0,015315";;"0,015159";"0,000156";"-0,015003"
2581;73.107.162;"73,107162";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56905 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"73,107162";"73,107318";;"0,000156";;"-0,000633";"0,000789";"0,001422"
2582;73.107.318;"73,107318";"192,168,100,98";"104,22,1,235";TCP;54;56905  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"73,107318";"73,108107";;"0,000789";;"-0,059361";"0,06015";"0,119511"
2583;73.108.107;"73,108107";"192,168,100,98";"104,22,1,235";TCP;54;"56905  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"73,108107";"73,168257";;"0,06015";;"0,054524";"0,005626";"-0,048898"
2584;73.168.257;"73,168257";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56905 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"73,168257";"73,173883";;"0,005626";;"-0,996917";"1,002543";"1,99946"
2585;73.173.883;"73,173883";"192,168,100,98";"104,22,1,235";TCP;66;56906  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"73,173883";"74,176426";;"1,002543";;"0,942126";"0,060417";"-0,881709"
2586;74.176.426;"74,176426";"192,168,100,98";"104,22,1,235";TCP;66;[TCP Retransmission] 56906  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"74,176426";"74,236843";;"0,060417";;"0,060139";"0,000278";"-0,059861"
2587;74.236.843;"74,236843";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56906 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"74,236843";"74,237121";;"0,000278";;"-0,0007";"0,000978";"0,001678"
2588;74.237.121;"74,237121";"192,168,100,98";"104,22,1,235";TCP;54;56906  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"74,237121";"74,238099";;"0,000978";;"-0,057916";"0,058894";"0,11681"
2589;74.238.099;"74,238099";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"74,238099";"74,296993";;"0,058894";;"0,050536";"0,008358";"-0,042178"
2590;74.296.993;"74,296993";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56906 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"74,296993";"74,305351";;"0,008358";;"0,006478";"0,00188";"-0,004598"
2591;74.305.351;"74,305351";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"74,305351";"74,307231";;"0,00188";;"-0,054865";"0,056745";"0,11161"
2592;74.307.231;"74,307231";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"74,307231";"74,363976";;"0,056745";;"0,056627";"0,000118";"-0,056509"
2593;74.363.976;"74,363976";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56906 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"74,363976";"74,364094";;"0,000118";;"-0,058268";"0,058386";"0,116654"
2594;74.364.094;"74,364094";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"74,364094";"74,422480";;"0,058386";;"-0,163245";"0,221631";"0,384876"
2595;74.422.480;"74,422480";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56906 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"74,422480";"74,644111";;"0,221631";;"0,221502";"0,000129";"-0,221373"
2596;74.644.111;"74,644111";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56906 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"74,644111";"74,644240";;"0,000129";;"-0,011133";"0,011262";"0,022395"
2597;74.644.240;"74,644240";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 2592#1] 56906  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"74,644240";"74,655502";;"0,011262";;"0,011004";"0,000258";"-0,010746"
2598;74.655.502;"74,655502";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56906 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"74,655502";"74,655760";;"0,000258";;"-0,000599";"0,000857";"0,001456"
2599;74.655.760;"74,655760";"192,168,100,98";"104,22,1,235";TCP;54;56906  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"74,655760";"74,656617";;"0,000857";;"-0,041284";"0,042141";"0,083425"
2600;74.656.617;"74,656617";"192,168,100,98";"104,22,1,235";TCP;54;"56906  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"74,656617";"74,698758";;"0,042141";;"0,027601";"0,01454";"-0,013061"
2601;74.698.758;"74,698758";"192,168,100,98";"104,22,1,235";TCP;66;56907  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"74,698758";"74,713298";;"0,01454";;"-0,022148";"0,036688";"0,058836"
2602;74.713.298;"74,713298";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56906 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"74,713298";"74,749986";;"0,036688";;"0,036532";"0,000156";"-0,036376"
2603;74.749.986;"74,749986";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56907 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"74,749986";"74,750142";;"0,000156";;"-0,000784";"0,00094";"0,001724"
2604;74.750.142;"74,750142";"192,168,100,98";"104,22,1,235";TCP;54;56907  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"74,750142";"74,751082";;"0,00094";;"-0,046122";"0,047062";"0,093184"
2605;74.751.082;"74,751082";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"74,751082";"74,798144";;"0,047062";;"0,039291";"0,007771";"-0,03152"
2606;74.798.144;"74,798144";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56907 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"74,798144";"74,805915";;"0,007771";;"0,007713";"5,8E-05";"-0,007655"
2607;74.805.915;"74,805915";"103,208,137,6";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  55908 [FIN, ACK] Seq=32 Ack=2 Win=501 Len=0";;;"74,805915";"74,805973";;"5,8E-05";;"-0,008937";"0,008995";"0,017932"
2608;74.805.973;"74,805973";"192,168,100,98";"103,208,137,6";TCP;54;[TCP Dup ACK 519#1] 55908  >  443 [ACK] Seq=2 Ack=1 Win=512 Len=0;;;"74,805973";"74,814968";;"0,008995";;"0,008995";0;"-0,008995"
2609;74.814.968;"74,814968";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"74,814968";"74,814968";;0;;"-0,00018";"0,00018";"0,00036"
2610;74.814.968;"74,814968";"103,208,137,6";"192,168,100,98";TCP;85;"[TCP Retransmission] 443  >  55908 [PSH, ACK] Seq=1 Ack=2 Win=501 Len=31";;;"74,814968";"74,815148";;"0,00018";;"-0,001379";"0,001559";"0,002938"
2611;74.815.148;"74,815148";"192,168,100,98";"103,208,137,6";TCP;54;55908  >  443 [ACK] Seq=2 Ack=33 Win=512 Len=0;;;"74,815148";"74,816707";;"0,001559";;"-0,015345";"0,016904";"0,032249"
2612;74.816.707;"74,816707";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"74,816707";"74,833611";;"0,016904";;"0,016836";"6,8E-05";"-0,016768"
2613;74.833.611;"74,833611";"103,208,137,6";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  55912 [FIN, ACK] Seq=32 Ack=2 Win=501 Len=0";;;"74,833611";"74,833679";;"6,8E-05";;"-0,003092";"0,00316";"0,006252"
2614;74.833.679;"74,833679";"192,168,100,98";"103,208,137,6";TCP;54;[TCP Dup ACK 515#1] 55912  >  443 [ACK] Seq=2 Ack=1 Win=512 Len=0;;;"74,833679";"74,836839";;"0,00316";;"0,003122";"3,8E-05";"-0,003084"
2615;74.836.839;"74,836839";"103,208,137,6";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  55909 [FIN, ACK] Seq=32 Ack=2 Win=501 Len=0";;;"74,836839";"74,836877";;"3,8E-05";;"-0,007915";"0,007953";"0,015868"
2616;74.836.877;"74,836877";"192,168,100,98";"103,208,137,6";TCP;54;[TCP Dup ACK 514#1] 55909  >  443 [ACK] Seq=2 Ack=1 Win=512 Len=0;;;"74,836877";"74,844830";;"0,007953";;"0,007953";0;"-0,007953"
2617;74.844.830;"74,844830";"103,208,137,6";"192,168,100,98";TCP;85;"[TCP Retransmission] 443  >  55912 [PSH, ACK] Seq=1 Ack=2 Win=501 Len=31";;;"74,844830";"74,844830";;0;;"-0,00015";"0,00015";"0,0003"
2618;74.844.830;"74,844830";"103,208,137,6";"192,168,100,98";TCP;85;"[TCP Retransmission] 443  >  55909 [PSH, ACK] Seq=1 Ack=2 Win=501 Len=31";;;"74,844830";"74,844980";;"0,00015";;"0,000105";"4,5E-05";-6E-05
2619;74.844.980;"74,844980";"192,168,100,98";"103,208,137,6";TCP;54;55912  >  443 [ACK] Seq=2 Ack=33 Win=512 Len=0;;;"74,844980";"74,845025";;"4,5E-05";;"-0,019294";"0,019339";"0,038633"
2620;74.845.025;"74,845025";"192,168,100,98";"103,208,137,6";TCP;54;55909  >  443 [ACK] Seq=2 Ack=33 Win=512 Len=0;;;"74,845025";"74,864364";;"0,019339";;"0,019276";"6,3E-05";"-0,019213"
2621;74.864.364;"74,864364";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56907 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"74,864364";"74,864427";;"6,3E-05";;"-0,04742";"0,047483";"0,094903"
2622;74.864.427;"74,864427";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"74,864427";"74,911910";;"0,047483";;"-0,179989";"0,227472";"0,407461"
2623;74.911.910;"74,911910";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56907 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"74,911910";"75,139382";;"0,227472";;"0,227373";"9,9E-05";"-0,227274"
2624;75.139.382;"75,139382";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56907 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"75,139382";"75,139481";;"9,9E-05";;"-0,019489";"0,019588";"0,039077"
2625;75.139.481;"75,139481";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 2612#1] 56907  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"75,139481";"75,159069";;"0,019588";;"0,019396";"0,000192";"-0,019204"
2626;75.159.069;"75,159069";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56907 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"75,159069";"75,159261";;"0,000192";;"-0,000504";"0,000696";"0,0012"
2627;75.159.261;"75,159261";"192,168,100,98";"104,22,1,235";TCP;54;56907  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"75,159261";"75,159957";;"0,000696";;"-0,059906";"0,060602";"0,120508"
2628;75.159.957;"75,159957";"192,168,100,98";"104,22,1,235";TCP;54;"56907  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"75,159957";"75,220559";;"0,060602";;"0,0306";"0,030002";"-0,000598"
2629;75.220.559;"75,220559";"192,168,100,98";"104,22,1,235";TCP;66;56908  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"75,220559";"75,250561";;"0,030002";;"0,029933";"6,9E-05";"-0,029864"
2630;75.250.561;"75,250561";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Retransmission] 443  >  56907 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"75,250561";"75,250630";;"6,9E-05";;"-0,214544";"0,214613";"0,429157"
2631;75.250.630;"75,250630";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 2627#1] 56907  >  443 [ACK] Seq=1071 Ack=1026 Win=130560 Len=0;;;"75,250630";"75,465243";;"0,214613";;"0,166146";"0,048467";"-0,117679"
2632;75.465.243;"75,465243";"192,168,100,98";"104,22,1,235";TCP;54;"[TCP Retransmission] 56907  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"75,465243";"75,513710";;"0,048467";;"-0,665769";"0,714236";"1,380005"
2633;75.513.710;"75,513710";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56907 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"75,513710";"76,227946";;"0,714236";;"0,651752";"0,062484";"-0,589268"
2634;76.227.946;"76,227946";"192,168,100,98";"104,22,1,235";TCP;66;[TCP Retransmission] 56908  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"76,227946";"76,290430";;"0,062484";;"0,062268";"0,000216";"-0,062052"
2635;76.290.430;"76,290430";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56908 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"76,290430";"76,290646";;"0,000216";;"-0,000591";"0,000807";"0,001398"
2636;76.290.646;"76,290646";"192,168,100,98";"104,22,1,235";TCP;54;56908  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"76,290646";"76,291453";;"0,000807";;"-0,057061";"0,057868";"0,114929"
2637;76.291.453;"76,291453";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"76,291453";"76,349321";;"0,057868";;"0,042356";"0,015512";"-0,026844"
2638;76.349.321;"76,349321";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56908 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"76,349321";"76,364833";;"0,015512";;"0,013921";"0,001591";"-0,01233"
2639;76.364.833;"76,364833";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"76,364833";"76,366424";;"0,001591";;"-0,055555";"0,057146";"0,112701"
2640;76.366.424;"76,366424";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"76,366424";"76,423570";;"0,057146";;"0,057063";"8,3E-05";"-0,05698"
2641;76.423.570;"76,423570";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56908 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"76,423570";"76,423653";;"8,3E-05";;"-0,057002";"0,057085";"0,114087"
2642;76.423.653;"76,423653";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"76,423653";"76,480738";;"0,057085";;"-0,183685";"0,24077";"0,424455"
2643;76.480.738;"76,480738";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56908 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"76,480738";"76,721508";;"0,24077";;"0,240661";"0,000109";"-0,240552"
2644;76.721.508;"76,721508";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56908 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"76,721508";"76,721617";;"0,000109";;"-0,015239";"0,015348";"0,030587"
2645;76.721.617;"76,721617";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 2640#1] 56908  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"76,721617";"76,736965";;"0,015348";;"0,015082";"0,000266";"-0,014816"
2646;76.736.965;"76,736965";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56908 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"76,736965";"76,737231";;"0,000266";;"-0,000482";"0,000748";"0,00123"
2647;76.737.231;"76,737231";"192,168,100,98";"104,22,1,235";TCP;54;56908  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"76,737231";"76,737979";;"0,000748";;"-0,05542";"0,056168";"0,111588"
2648;76.737.979;"76,737979";"192,168,100,98";"104,22,1,235";TCP;54;"56908  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"76,737979";"76,794147";;"0,056168";;"0,053073";"0,003095";"-0,049978"
2649;76.794.147;"76,794147";"192,168,100,98";"104,22,1,235";TCP;66;56909  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"76,794147";"76,797242";;"0,003095";;"-0,047319";"0,050414";"0,097733"
2650;76.797.242;"76,797242";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56908 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"76,797242";"76,847656";;"0,050414";;"0,05017";"0,000244";"-0,049926"
2651;76.847.656;"76,847656";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56909 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"76,847656";"76,847900";;"0,000244";;"-0,000645";"0,000889";"0,001534"
2652;76.847.900;"76,847900";"192,168,100,98";"104,22,1,235";TCP;54;56909  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"76,847900";"76,848789";;"0,000889";;"-0,283523";"0,284412";"0,567935"
2653;76.848.789;"76,848789";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"76,848789";"77,133201";;"0,284412";;"0,204161";"0,080251";"-0,12391"
2654;77.133.201;"77,133201";"192,168,100,98";"104,22,1,235";TCP;372;"[TCP Retransmission] 56909  >  443 [PSH, ACK] Seq=1 Ack=1 Win=131584 Len=318";;;"77,133201";"77,213452";;"0,080251";;"0,068823";"0,011428";"-0,057395"
2655;77.213.452;"77,213452";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56909 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"77,213452";"77,224880";;"0,011428";;"0,00925";"0,002178";"-0,007072"
2656;77.224.880;"77,224880";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"77,224880";"77,227058";;"0,002178";;"-0,051587";"0,053765";"0,105352"
2657;77.227.058;"77,227058";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"77,227058";"77,280823";;"0,053765";;"0,05366";"0,000105";"-0,053555"
2658;77.280.823;"77,280823";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56909 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"77,280823";"77,280928";;"0,000105";;"-0,051323";"0,051428";"0,102751"
2659;77.280.928;"77,280928";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"77,280928";"77,332356";;"0,051428";;"-0,169889";"0,221317";"0,391206"
2660;77.332.356;"77,332356";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56909 [ACK] Seq=124 Ack=1070 Win=68608 Len=0;;;"77,332356";"77,553673";;"0,221317";;"0,221204";"0,000113";"-0,221091"
2661;77.553.673;"77,553673";"104,22,1,235";"192,168,100,98";TCP;54;"[TCP Previous segment not captured] 443  >  56909 [FIN, ACK] Seq=1025 Ack=1070 Win=68608 Len=0";;;"77,553673";"77,553786";;"0,000113";;"-0,011434";"0,011547";"0,022981"
2662;77.553.786;"77,553786";"192,168,100,98";"104,22,1,235";TCP;54;[TCP Dup ACK 2657#1] 56909  >  443 [ACK] Seq=1070 Ack=124 Win=131328 Len=0;;;"77,553786";"77,565333";;"0,011547";;"0,011376";"0,000171";"-0,011205"
2663;77.565.333;"77,565333";"104,22,1,235";"192,168,100,98";TCP;955;"[TCP Out-Of-Order] 443  >  56909 [PSH, ACK] Seq=124 Ack=1070 Win=68608 Len=901";;;"77,565333";"77,565504";;"0,000171";;"-0,000631";"0,000802";"0,001433"
2664;77.565.504;"77,565504";"192,168,100,98";"104,22,1,235";TCP;54;56909  >  443 [ACK] Seq=1070 Ack=1026 Win=130560 Len=0;;;"77,565504";"77,566306";;"0,000802";;"-0,049633";"0,050435";"0,100068"
2665;77.566.306;"77,566306";"192,168,100,98";"104,22,1,235";TCP;54;"56909  >  443 [FIN, ACK] Seq=1070 Ack=1026 Win=130560 Len=0";;;"77,566306";"77,616741";;"0,050435";;"0,043867";"0,006568";"-0,037299"
2666;77.616.741;"77,616741";"192,168,100,98";"104,22,1,235";TCP;66;56910  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1;;;"77,616741";"77,623309";;"0,006568";;"-0,037993";"0,044561";"0,082554"
2667;77.623.309;"77,623309";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56909 [ACK] Seq=1026 Ack=1071 Win=68608 Len=0;;;"77,623309";"77,667870";;"0,044561";;"0,044349";"0,000212";"-0,044137"
2668;77.667.870;"77,667870";"104,22,1,235";"192,168,100,98";TCP;66;"443  >  56910 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM=1 WS=1024";;;"77,667870";"77,668082";;"0,000212";;"-0,000662";"0,000874";"0,001536"
2669;77.668.082;"77,668082";"192,168,100,98";"104,22,1,235";TCP;54;56910  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0;;;"77,668082";"77,668956";;"0,000874";;"-0,055017";"0,055891";"0,110908"
2670;77.668.956;"77,668956";"192,168,100,98";"104,22,1,235";TLSv1;372;Client Hello;;;"77,668956";"77,724847";;"0,055891";;"0,034302";"0,021589";"-0,012713"
2671;77.724.847;"77,724847";"104,22,1,235";"192,168,100,98";TCP;54;443  >  56910 [ACK] Seq=1 Ack=319 Win=67584 Len=0;;;"77,724847";"77,746436";;"0,021589";;"0,019897";"0,001692";"-0,018205"
2672;77.746.436;"77,746436";"104,22,1,235";"192,168,100,98";TLSv1;177;"Server Hello, Change Cipher Spec, Encrypted Handshake Message";;;"77,746436";"77,748128";;"0,001692";;"-0,061098";"0,06279";"0,123888"
2673;77.748.128;"77,748128";"192,168,100,98";"104,22,1,235";TLSv1;699;"Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data";;;"77,748128";"77,810918";;"0,06279";;"0,047344";"0,015446";"-0,031898"
2674;77.810.918;"77,810918";"192,168,100,98";"36,92,238,236";"TLSv1,2";1446;Application Data;;;"77,810918";"77,826364";;"0,015446";;"0,015339";"0,000107";"-0,015232"
2675;77.826.364;"77,826364";"104,22,1,235";"192,168,100,98";TCP;56;443  >  56910 [ACK] Seq=124 Ack=964 Win=68608 Len=0;;;"77,826364";"77,826471";;"0,000107";;"-0,002242";"0,002349";"0,004591"
2676;77.826.471;"77,826471";"192,168,100,98";"104,22,1,235";TLSv1;160;"Application Data, Application Data";;;"77,826471";"77,828820";;"0,002349";;"0,002349";0;"-0,002349"
2677;77.828.820;"77,828820";"36,92,238,236";"192,168,100,98";"TLSv1,2";1466;Application Data;;;"77,828820";"77,828820";;0;;"-0,000199";"0,000199";"0,000398"
2678;77.828.820;"77,828820";"36,92,238,236";"192,168,100,98";TCP;1466;443  >  56638 [ACK] Seq=1395814 Ack=5359 Win=539 Len=1412 [TCP segment of a reassembled PDU];;;"77,828820";"77,829019";;"0,000199";;"-0,056356";"0,056555";"0,112911"
2679;77.829.019;"77,829019";"192,168,100,98";"36,92,238,236";TCP;54;56638  >  443 [ACK] Seq=5359 Ack=1397226 Win=512 Len=0;;;"77,829019";"77,885574";;"0,056555";;"0,056555";0;"-0,056555"
2680;77.885.574;"77,885574";"36,92,238,236";"192,168,100,98";TCP;1466;443  >  56638 [ACK] Seq=1397226 Ack=5359 Win=539 Len=1412 [TCP segment of a reassembled PDU];;;"77,885574";"77,885574";;0;;0;0;0
2681;77.885.574;"77,885574";"36,92,238,236";"192,168,100,98";TCP;1466;443  >  56638 [ACK] Seq=1398638 Ack=5359 Win=539 Len=1412 [TCP segment of a reassembled PDU];;;"77,885574";"77,885574";;0;;0;0;0
2682;77.885.574;"77,885574";"36,92,238,236";"192,168,100,98";TCP;1466;443  >  56638 [ACK] Seq=1400050 Ack=5359 Win=539 Len=1412 [TCP segment of a reassembled PDU];;;"77,885574";"77,885574";;0;;0;0;0
2683;77.885.574;"77,885574";"36,92,238,236";"192,168,100,98";TCP;1466;443  >  56638 [ACK] Seq=1401462 Ack=5359 Win=539 Len=1412 [TCP segment of a reassembled PDU];;;"77,885574";"77,885574";;0;;0;0;0
2684;77.885.574;"77,885574";"36,92,238,236";"192,168,100,98";TCP;1466;443  >  56638 [ACK] Seq=1402874 Ack=5359 Win=539 Len=1412 [TCP segment of a reassembled PDU];;;"77,885574";"77,885574";;0;;"-0,000441";"0,000441";"0,000882"
2685;77.885.574;"77,885574";"36,92,238,236";"192,168,100,98";TCP;1466;443  >  56638 [ACK] Seq=1404286 Ack=5359 Win=539 Len=1412 [TCP segment of a reassembled PDU];;;"77,885574";"77,886015";;"0,000441";;"-0,01092";"0,011361";"0,022281"
2686;77.886.015;"77,886015";"192,168,100,98";"36,92,238,236";TCP;54;56638  >  443 [ACK] Seq=5359 Ack=1405698 Win=512 Len=0;;;"77,886015";"77,897376";;"0,011361";;"0,011361";0;"-0,011361"
2687;77.897.376;"77,897376";"36,92,238,236";"192,168,100,98";TCP;1466;443  >  56638 [ACK] Seq=1405698 Ack=5359 Win=539 Len=1412 [TCP segment of a reassembled PDU];;;"77,897376";"77,897376";;0;;"-0,000183";"0,000183";"0,000366"
2688;77.897.376;"77,897376";"36,92,238,236";"192,168,100,98";TCP;1466;443  >  56638 [ACK] Seq=1407110 Ack=5359 Win=539 Len=1412 [TCP segment of a reassembled PDU];;;"77,897376";"77,897559";;"0,000183";;"-0,040381";"0,040564";"0,080945"
2689;77.897.559;"77,897559";"192,168,100,98";"36,92,238,236";TCP;54;56638  >  443 [ACK] Seq=5359 Ack=1408522 Win=512 Len=0;;;"77,897559";"77,938123";;"0,040564";;"0,040489";"7,5E-05";"-0,040414"
2690;77.938.123;"77,938123";"36,92,238,236";"192,168,100,98";"TLSv1,2";2878;"[TCP Previous segment not captured] , Ignored Unknown Record";;;"77,938123";"77,938198";;"7,5E-05";;"-0,000565";"0,00064";"0,001205"
